Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Boutique Hotels,THE THEVA RESIDENCY,"11/B5/10-1 06TH LANE, HANTANA,KANDY",10,,Kandy,Kandy Divisional Secretariat,Kandy,80.635411,7.276036
Boutique Hotels,HIGHLAND VILLA,"351, ABIMANGAMA ROAD, KUMBALGAMA, WELIGAMA",10,,Matara,Weligama Divisional Secretariat,Weligama Pradeshiya Sabha,80.409972,5.960334
Boutique Hotels,ULAGALLA WALAWWA RESORT,"THIRAPPANE, ANURADHAPURA",21,,Anuradhapura,Anuradhapura East,Anuradhapura,80.545063,8.205927
Boutique Hotels,GALLE FORT HOTEL,"NO.28, CHURCH STREET, FORT , GALLE",14,,Galle,Galle Divisional Secretariat,Galle,80.217563,6.026649
Boutique Hotels,THE ELEPHANT CORRIDOR,"POTHANA,KIBISSA, SIGIRIYA",21,,Matale,N/A,Matale,80.710743,7.943525
Boutique Hotels,AMANWELLA,"WELLAWATURA, GODELLAWELA, TANGALLE",30,,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.777376,6.006174
Boutique Hotels,ADITYA,"719/1, GALLE ROAD, DEVENIGODA,RATHGAMA",12,,Galle,Galle Divisional Secretariat,Galle,80.134978,6.094732
Boutique Hotels,BUCKINGAM PLACE,"REKAWA VILLAGE, NETOLPITIYA, TANGALLE",11,,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.855462,6.047336
Boutique Hotels,CLUB VILLA,"NO.138/15, GALLE ROAD, BENTOTA",15,,Galle,Benthota Divisional Secretariat,Bentota Pradeshiya Sabha,79.999034,6.414093
Boutique Hotels,SAMAN VILLAS,"ATURUWELLA, INDURUWA",27,,Galle,Galle Divisional Secretariat,Galle,80.004447,6.395518
Boutique Hotels,MANDARA RESORT,"NO. 416, MODARAWATTA, PELENA, MIRISSA, WEILIGAMA",12,,Matara,Matara Divisional Secretariat,Weligama Pradeshiya Sabha,80.453836,5.964016
Boutique Hotels,VIL UYANA,"RANGIRIGAMA, SIGIRIYA",30,,Matale,Matale Divisional Secretariat,Matale,80.720275,7.92971
Boutique Hotels,TAMARIND HILL HOTEL,"NO.288,GALLE ROAD, DADELLA, GALLE",11,,Galle,Galle Divisional Secretariat,Galle,80.19736,6.044845
Boutique Hotels,PARADISE ROAD TINTAGEL COLOMBO,"NO.65, ROSMEAD PLACE,COLOMBO 07",10,,Colombo,Colombo Divisional Secretariat,Colombo,79.869959,6.915033
Boutique Hotels,BROOK BOUTIQUE,"ALI PALLAMA, MADAHAPOLA ROAD, MELSIRIPURA",10,,Kurunegala,Polpithigama Divisional Secretariat,Polpithigama Pradeshiya Sabha,80.512511,7.726939
